total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
2,0,0,0,2,142,0,0,1
2753,0,0,0,2753,142,0.761231609,0,1
2284,0,0,0,2284,142,0.77185005,0,1
2920,0,0,0,2920,142,0.63960976,0,1
2643,0,0,0,2643,142,0.562132699,0,1
2293,0,0,0,2293,142,0.747552086,0,1
2666,0,0,0,2666,142,0.519526952,0,1
2897,0,0,0,2897,142,0.598885958,0,1
2561,0,0,0,2561,142,0.54119776,0,1
1027,1,1,0,1027,142.0116845,0.536664562,0,1
4058,4058,2389,0,0,112.8713652,0.538012062,0,1
2759,2758,1306,0,0,101.3722363,0.640881699,0,1
3230,3231,1709,0,0,106.879257,0.613265752,0,1
3994,3994,1981,0,0,103.5993991,0.600053351,0,1
3297,3297,1538,0,0,100.6484683,0.597711667,0,1
2971,2971,1617,0,0,108.4261192,0.594790169,0,1
2725,2725,1375,0,0,104.4587156,0.59353063,0,1
3469,3469,1755,0,0,104.5909484,0.639197858,0,1
2724,2724,1358,0,0,103.8898678,0.633549354,0,1
2243,2243,1108,0,0,103.3535444,0.52891416,0,1
2509,2509,1248,0,0,103.7409326,0.610138376,0,1
3027,3027,1525,0,0,104.3799141,0.607043554,0,1
2182,2182,1084,0,0,103.6791934,0.616916501,0,1
1601,1600,542,1,0,87.87757651,0.664995345,0.071414626,1
926,0,0,914,12,202.6328294,0.480016199,0.419913596,1
1115,0,0,1102,13,213.2950673,0.543141432,0.482577565,1
1214,0,0,1200,14,215.1647446,0.376058243,0.34365213,1
1299,0,0,1287,12,209.6258661,0.413892425,0.38313316,1
835,0,0,827,8,531.4443114,0.090876121,0,1
2286,0,0,0,2285,142,5.012522807,0,1
1332,0,0,0,1332,142,4.321613527,0,1
1531,0,0,0,1532,142,4.537068779,0,1
1780,0,0,0,1780,142,4.687226416,0,1
1702,0,0,0,1702,142,4.686839491,0,1
2721,0,0,0,2720,141.9478133,6.087669369,0,1
2467,0,0,0,2467,142.0575598,4.897413307,0,1
3237,0,0,0,3238,142,5.061332352,0,1
2350,2,2,0,2348,141.9676596,5.24260152,0,1
2174,2174,1111,0,0,98.84820607,6.124565068,0.750190657,1
2146,2146,1115,0,0,100.1556384,5.085245327,0,1
5981,5981,3088,0,0,99.45226551,6.896373873,0.046896569,1
3562,3555,1758,8,0,96.29590118,6.479106142,0.231394833,1
524,0,0,401,123,48.57251908,3.951243719,0.095030117,1
329,0,0,222,107,51.10638298,3.688879454,0,1
387,0,0,280,107,49.74160207,3.761200116,0,1
340,0,0,251,89,49.32941176,3.663561646,0,1
167,0,0,96,71,53.90419162,2.397895273,0,1
106,0,0,53,53,56,0,0,1
116,0,0,58,58,56,0,0,1
129,0,0,64,65,56.10852713,0,0,1
119,0,0,60,59,55.88235294,0,0,1
119,0,0,59,60,56.11764706,0,0,1
121,0,0,61,60,55.88429752,0,0,1
116,0,0,58,58,56,1.791759469,0,1
134,0,0,67,67,56,0,0,1
2133,1,0,1325,807,52.64603844,5.33753808,0.733972194,1
3550,3550,0,0,0,154,6.507277712,0.492013811,1
2880,2880,0,0,0,154,5.043425117,0.38454292,1
3802,3802,0,0,0,154,5.509388337,0.4981492,1
4092,4092,0,0,0,154,5.472270674,0.472411351,1
4497,4497,0,0,0,154,5.356586275,0.484302179,1
4747,4747,0,0,0,154,6.077642243,0.455449533,1
2918,2918,0,0,0,154,5.627621114,0.516896588,1
3556,3556,0,0,0,154,5.438079309,0.441109008,1
3100,3100,0,0,0,154,5.886104031,0.450561209,1
4723,4723,0,0,0,154,5.560681631,0.429323022,1
3395,3395,0,0,0,154,5.85220248,0.477267994,1
3610,3610,0,0,0,154,6.442540166,0.542260501,1
2706,2705,0,0,0,154,4.859812404,0.404118265,1
1524,1524,0,0,1,160.1417323,5.220355825,0.531978519,1
168,0,0,0,168,5144.571429,0.959614794,0,1
162,0,0,0,162,4982.740741,1.118743336,0,1
130,0,0,0,130,5038,1.011404265,0,1
104,0,0,0,104,5038,1.011404265,0,1
128,0,0,0,128,4968.0625,1.351783994,0,1
146,0,0,0,146,5160.630137,1.546168948,0,1
165,0,0,0,164,4953.212121,1.647918433,0,1
486,0,0,0,487,5518.069959,1.517106397,0,1
131,0,0,0,130,5819.572519,1.468139939,0,1
155,0,0,0,155,5417.032258,0.693147181,0,1
344,0,0,0,345,5454.372093,1.274023062,0,1
171,0,0,0,171,5901.789474,0.938532216,0,1
90,0,0,0,91,5933.2,1.289921983,0,1
1637,0,0,0,1637,6112.568112,1.716142417,0,1
151,1,1,0,150,5657.456954,0.093599963,0.693147181,1
3859,3859,2344,0,0,84.37056232,0.336935514,4.942549803,1
2373,2373,1186,0,0,78.98946481,0.512037383,5.216281939,1
4522,4522,2260,0,0,78.98894295,0.620801223,5.153291594,1
5517,5517,2758,0,0,78.99546855,0.548605363,5.314417,1
4171,4171,2086,0,0,79.00599377,0.576699954,5.662258893,1
4616,4616,2308,0,0,79,0.558499014,5.873517356,1
2155,2154,1082,0,0,79.07935035,0.635208242,5.17399538,1
4059,4058,2022,0,2,79.18502094,0.486342778,5.477480748,1
5481,5476,2736,0,5,79.44791097,0.517698692,5.010635294,1
4970,4969,2485,0,0,78.98993964,0.640603515,5.619012833,1
4733,4734,2338,0,0,78.69892246,0.071584834,4.285331386,1
5206,5206,2734,0,0,80.24855935,0.649654081,5.566882951,1
4050,4050,2033,0,0,79.09876543,0.537441264,5.778946599,1
4749,4749,2371,0,0,78.96315014,0.529706199,5.787327259,1
4682,4682,2351,0,0,79.10679197,0.567839508,5.8098818,1
4869,4870,2487,0,0,79.53912508,0.280919112,6.206247326,1
5053,3390,1443,0,1663,97.24045122,1.135707664,5.724425519,1
2368,263,160,0,2105,135.6047297,5.038713237,2.813355405,1
2496,294,138,0,2202,134.3990385,4.828686602,2.890371758,1
1810,262,141,0,1548,133.1569061,4.464938056,2.833213344,1
2214,382,185,0,1832,130.9945799,4.369971019,2.48490665,1
1414,230,132,0,1184,132.3536068,3.776099389,3.17805383,1
1746,289,126,0,1457,131.0423826,3.886124409,2.890371758,1
1612,258,141,0,1354,132.2890819,4.534010522,3.16342405,1
1598,292,159,0,1306,130.8948686,4.307780372,3.35498757,1
1219,251,120,0,968,128.802297,4.202883822,2.564949357,1
1377,313,165,0,1064,127.9883805,4.323527867,3.433987204,1
1214,250,114,0,964,128.5733114,3.654730429,2.397895273,1
1772,405,210,0,1367,127.8126411,4.658596245,3.871201011,1
1628,313,159,0,1315,129.9643735,4.209055822,2.833213344,1
3122,2161,1024,0,961,97.48750801,1.494467164,6.063604384,1
2241,2241,1121,0,0,79.01115573,0.560399534,6.315326562,1
2247,2247,1124,0,0,79.01112595,0.563313924,6.304069328,1
3507,841,440,0,2666,127.170231,1.101408004,5.439967653,1
2984,174,84,0,2810,138.2761394,0.56522492,2.397895273,1
2159,141,76,0,2018,138.012969,0.562105081,2.079441542,1
2338,139,66,0,2199,138.1796407,0.538533618,2.079441542,1
2765,199,108,0,2566,137.6195298,0.634178999,2.833213344,1
2106,149,69,0,1957,137.4121557,0.67219681,2.63905733,1
3041,246,140,0,2795,137.1831634,0.660041373,2.564949357,1
2798,208,83,0,2589,136.9413867,0.753949616,2.995732274,1
2501,157,78,0,2345,138.0351859,0.636634969,2.615630577,1
2103,135,72,0,1968,138.0627675,0.599274331,1.609437912,1
3312,348,191,0,2964,135.6370773,0.649358094,3.17805383,1
2188,168,87,0,2020,137.2312614,0.470667425,1.609437912,1
2410,154,72,0,2256,137.8705394,0.676639509,3.044522438,1
3330,350,160,0,2980,135.1831832,0.893353072,4.199649766,1
5804,5804,0,0,0,154,0.506639558,5.397536683,1
4456,4456,0,0,0,154,0.283843354,5.955070167,1
3380,3380,0,0,0,154,0.306576749,6.627463502,1
2457,2457,0,0,0,154,0.26924449,5.226907511,1
