total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
1,0,0,0,1,98.0,1.0986122886681096,0.0,0
25,0,0,0,25,98.0,1.198849312913621,0.0,0
23,0,0,0,23,98.0,1.17295457751597,0.0,0
25,0,0,0,25,98.0,1.2130075659799042,0.0,0
77,0,0,0,77,98.0,2.2016616885108142,0.0,0
82,0,0,0,82,98.0,2.206890649630358,0.0,0
74,0,0,0,74,98.0,2.2143139406073775,0.0,0
83,0,0,0,83,98.0,2.272457359731325,0.0,0
84,0,0,0,84,98.0,2.2878917707719335,0.0,0
82,0,0,0,82,98.0,2.288826337731014,0.0,0
83,0,0,0,83,98.0,2.2925772545196406,0.0,0
82,0,0,0,82,98.0,2.2949993692856134,0.0,0
84,0,0,0,84,98.0,2.281988591262317,0.0,0
85,0,0,0,85,98.0,2.288826337731014,0.0,0
83,0,0,0,83,98.0,2.2949993692856134,0.0,0
84,0,0,0,84,98.0,2.288826337731014,0.0,0
68,0,0,0,68,98.0,2.308300986198478,0.0,0
84,0,0,0,84,98.0,2.287165291596443,0.0,0
84,0,0,0,84,98.0,2.266126091022028,0.0,0
84,0,0,0,84,98.0,2.3060038543887216,0.0,0
84,0,0,0,84,98.0,2.2849075215580528,0.0,0
89,0,0,0,89,98.0,2.2910652930190842,0.0,0
79,0,0,0,79,98.0,2.275256726834288,0.0,0
84,0,0,0,84,98.0,2.276678070057439,0.0,0
84,0,0,0,84,98.0,2.3166231837264415,0.0,0
84,0,0,0,84,98.0,2.2792422946787596,0.0,0
85,0,0,0,85,98.0,2.2923877592396664,0.0,0
83,0,0,0,83,98.0,2.2767211035613704,0.0,0
87,0,0,0,87,98.0,2.288639219516842,0.0,0
81,0,0,0,81,98.0,2.2910652930190847,0.0,0
86,0,0,0,86,98.0,2.2842641503917087,0.0,0
84,0,0,0,84,98.0,2.288385536729597,0.0,0
84,0,0,0,84,98.0,2.287898497136621,0.0,0
82,0,0,0,82,98.0,2.2982162684315566,0.0,0
84,0,0,0,84,98.0,2.2757070980417735,0.0,0
85,0,0,0,85,98.0,2.2833363097973156,0.0,0
82,0,0,0,82,98.0,2.2788610376556884,0.0,0
84,0,0,0,84,98.0,2.285843159132231,0.0,0
84,0,0,0,84,98.0,2.288826337731014,0.0,0
88,0,0,0,88,98.0,2.2899887339325633,0.0,0
83,0,0,0,83,98.0,2.3040167143604426,0.0,0
81,0,0,0,81,98.0,2.2830546953262973,0.0,0
83,0,0,0,83,98.0,2.263191394103423,0.0,0
84,0,0,0,84,98.0,2.288826337731014,0.0,0
84,0,0,0,84,98.0,2.2998152535508143,0.0,0
84,0,0,0,84,98.0,2.285843159132231,0.0,0
87,0,0,0,87,98.0,2.2952530662115094,0.0,0
81,0,0,0,81,98.0,2.2899887339325633,0.0,0
84,0,0,0,84,98.0,2.2910652930190842,0.0,0
90,0,0,0,90,98.0,2.2931293579482297,0.0,0
79,0,0,0,79,98.0,2.2820888050847894,0.0,0
85,0,0,0,85,98.0,2.279774652620465,0.0,0
84,0,0,0,84,98.0,2.274637073835522,0.0,0
83,0,0,0,82,96.81927710843374,2.294935608329819,0.0,0
84,0,0,0,85,99.16666666666667,2.2899394985518935,0.0,0
84,0,0,0,84,98.0,2.2865031056797793,0.0,0
